ID,Asset ID,Asset Discipline,Asset Roll-Up,Asset Key Cost Line,Asset Key Volume Line,Asset Work Description,Location,Start ELR,Start Mileage,Start Yards,End ELR,End Mileage,End Yards,TID,Remit Status,Deliverer,Project Number,Project Name,Delivery Year ,Volume,Volume CP4 Rollover,"Volume FY 2014/15","Volume FY 2015/16","Volume FY 2016/17","Volume FY 2017/18","Volume FY 2018/19",Total Volume,Funding Source,"Budget CP4 Rollover(£K)","Budget FY 2014/15(£K)","Budget FY 2015/16(£K)","Budget FY 2016/17(£K)","Budget FY 2017/18(£K)","Budget FY 2018/19(£K)","AFC(£K)"
WEX - 000177,16/14A,Structures,Structures - Structures Other,Structures - Hazard Management,Structures - Non-Volume,Development of Asset Management Plan and scoping of any works required,Lyne (Motorway M25),VWW,23,0744,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2014/15,0,,0,0,0,0,0,0,Structures,,106.00,,,,,106.00
WEX - 000179,3/24,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Repair,Repair and refurbishment of poor condition footbridge,Church Crossing Pedestrian Bridge,RDG1,8,0089,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,39,,0,0,0,0,39,39,Structures,,,,,29.00,259.00,288.00
WEX - 000180,19/1377,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Repair,Repair and refurbishment of poor condition footbridge,Footbridge - Bracknell to Wokingham,RDG2,62,0090,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,25,,0,0,0,0,25,25,Structures,,,,,28.00,258.00,286.00
WEX - 000181,3/35B,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Repair,Repair and refurbishment of poor condition footbridge,Amyand Park Road Predestrian Bridge,RDG1,10,1574,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,67,,0,0,0,0,67,67,Structures,,,,,32.00,160.00,192.00
WEX - 000182,Various,Structures,Structures - Tunnels,Structures - Tunnels,Structures - Repair,"Repairs to defective tunnel lining including re-casing, and pinning/grouting",Tunnel Maintenance Project (Risk Reduction),N/A,0,,,0,,,Unremitted,IP Wessex: B&C ,140523,CP5 Tunnel Repairs - Batch 1,2018/19,"4,824",,966,"1,254",0,"1,302","1,302",4824,Structures,,"1,271.00","1,550.00",,"1,729.00","1,734.00","6,284.00"
WEX - 000183,Various,Structures,Structures - Tunnels,Structures - Tunnels,Structures - Preventative,"Preventative maintenance to defective tunnel lining, re-pointing etc.",Tunnel Maintenance Project (Risk Reduction),N/A,0,,,0,,,Unremitted,IP Wessex: B&C ,140523,CP5 Tunnel Repairs - Batch 1,2018/19,"1,608",,322,418,0,434,434,1608,Structures,,37.00,48.00,,50.00,50.00,185.00
WEX - 000184,Various,Structures,Structures - Culverts,Structures - Culverts,Structures - Replace,Repair & re-lining defective culverts / locating missing culverts,Culvert Maintenance Project (Risk Reduction),-,0,,,0,,,Unremitted,IP Wessex: B&C ,142871,Wessex Culvert Maintenance Risk Reduction,2018/19,"2,115",,423,699,423,423,353,2321,Structures,,279.00,95.00,282.00,282.00,250.00,"1,188.00"
WEX - 000185,Various,Structures,Structures - Culverts,Structures - Culverts,Minor Works,Repair & re-lining defective culverts / locating missing culverts,Culvert Maintenance Project (Risk Reduction),-,0,,,0,,,Unremitted,Maintenance: B&C,146329,DUWSX0 15/16 STRUCTURES MAINTE,2018/19,0,,0,0,0,0,0,0,Structures,,186.00,187.00,188.00,188.00,189.00,938.00
WEX - 000186,E19/8,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Repair and refurbishment of poor condition viaduct,Lymington Viaduct - BLP,BLP,97,1421,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,168,,0,0,0,0,168,168,Structures,,,,,15.00,155.00,170.00
WEX - 000187,E19/8,Structures,Structures - Underbridges,Structures - Underbridges,Preventative,Repair and refurbishment of poor condition viaduct,Lymington Viaduct - BLP,BLP,97,1421,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,168,,0,0,0,0,168,168,Structures,,,,,18.00,180.00,198.00
WEX - 000188,,Structures,Structures - Minor Works,Structures - Tunnels,Structures - Internal Measure Only - In Development,Reactive maintenance to Tunnels,Wessex Tunnel Minor Works Budget CP5 ,N/A,-,-,,0,,,Unremitted,Maintenance: B&C,"140825146329","STRUCTURES MINOR WORKS 14/15DUWSX0 15/16 STRUCTURES MAINTE",2017/18,0,,0,0,0,0,0,0,Structures,,106.00,387.00,108.00,104.00,,705.00
WEX - 000189,,Structures,Structures - Minor Works,Structures - Underbridges,Structures - Internal Measure Only - In Development,Reactive maintenance to Underbridges,Wessex Underbridge Minor Works Budget CP5,N/A,-,-,,0,,,Unremitted,Maintenance: B&C,"140825146329","STRUCTURES MINOR WORKS 14/15DUWSX0 15/16 STRUCTURES MAINTE",2018/19,0,,0,0,0,0,0,0,Structures,,"2,426.00","2,759.00","2,030.00","1,945.00",589.00,"9,749.00"
WEX - 000190,,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Target volumes to be captured through minor works budget (underbridge maintenance),Underbridge repairs - maintenance works,N/A,0,,,0,,,Unremitted,Maintenance: B&C,140825,STRUCTURES MINOR WORKS 14/15,2018/19,"9,863",,"1,463","2,100","2,100","2,100","2,100",9863,Structures,,,,,,,0.00
WEX - 000191,,Structures,Structures - Minor Works,Structures - Overbridges,Structures - Internal Measure Only - In Development,Reactive/planned maintenance to Overbridges,Wessex Overbridge Minor Works Budget CP5,N/A,-,-,,0,,,Unremitted,Maintenance: B&C,"140825146329","STRUCTURES MINOR WORKS 14/15DUWSX0 15/16 STRUCTURES MAINTE",2018/19,0,,0,0,0,0,0,0,Structures,,861.00,"1,035.00",539.00,633.00,185.00,"3,253.00"
WEX - 000192,,Structures,Structures - Minor Works,Structures - Footbridges,Structures - Internal Measure Only - In Development,Reactive/planned maintenance to Footbridges,Wessex Footbridge Minor Works Budget CP5,N/A,-,-,,0,,,Unremitted,Maintenance: B&C,"140825146329","STRUCTURES MINOR WORKS 14/15DUWSX0 15/16 STRUCTURES MAINTE",2017/18,0,,0,0,0,0,0,0,Structures,,297.00,424.00,202.00,193.00,,"1,116.00"
WEX - 000193,,Structures,Structures - Minor Works,Structures - Retaining Wall,Structures - Internal Measure Only - In Development,Reactive/planned  maintenance to Retaining Walls,Wessex Retaining Wall Minor Works Budget CP5,N/A,-,-,,0,,,Unremitted,Maintenance: B&C,"140825146329","STRUCTURES MINOR WORKS 14/15DUWSX0 15/16 STRUCTURES MAINTE",2017/18,0,,0,0,0,0,0,0,Structures,,623.00,"1,008.00",635.00,609.00,,"2,875.00"
WEX - 000194,,Structures,Structures - Structures Other,Structures - Hazard Management,Structures - Non-Volume,Exposing hidden critical elements to structure / installation of ballast boards,Wessex CP5 Hidden Critical Element Project,N/A,0,,,0,,,Unremitted,IP Wessex: B&C ,140525,CP5 HCE - Batch 1,2015/16,0,,0,0,0,0,0,0,Structures,,"2,794.00","2,806.00",,,,"5,600.00"
WEX - 000195,,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Mitigation of underbridges at high risk of scour / installation of protective measures,Wessex CP5 Scour Protection,N/A,0,,,0,,,Unremitted,IP Wessex: B&C ,140524,CP5 Scour Protection - Batch 1,2016/17,"2,800",,"1,400",736,700,0,0,2836,Structures,,"2,794.00","1,573.00","1,408.00",,,"5,775.00"
WEX - 000196,,Structures,Structures - Structures Other,Structures - Hazard Management,Structures - Non-Volume,"Spend required for risk reduction initives including planned preventative maintenance, asset management manuels, data improvement etc.",Other Structures Programmes Holding Spend,0,0,,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,0,,0,0,0,0,0,0,Structures,,186.00,187.00,"1,808.00","1,731.00","1,673.00","5,585.00"
WEX - 000197,2/96,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Repair,Brickwork Repairs and Drainage Work,Deepcut Road Bridge 2/96,BML1,31,0362,,0,,,Remitted,Maintenance: B&C,"141157146329","BRIDGE BML1 2/96 DEEPCUT ROAD BRICKWORK REPAIRS & DRAINAGE WORKSDUWSX0 15/16 STRUCTURES MAINTE",2014/15,117,,117,0,0,0,0,117,Structures,,335.00,,,,,335.00
WEX - 000199,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Refurbishment,Grey asset interventions - Embankments,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,0,,0,0,0,0,0,0,Geotechnical,,0.00,,651.00,279.00,633.00,"1,563.00"
WEX - 000200,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Maintenance,Drainage Maintenance,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,141428,CP5 Drainage Year 1,2018/19,"3,320",,"1,280",0,680,680,680,3320,Geotechnical,,263.00,,257.00,252.00,250.00,"1,022.00"
WEX - 000201,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Maintenance,Vegetation management to address geotechnical risks - Embankments,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,17,,5,0,4,4,4,17,Geotechnical,,603.00,,457.00,448.00,444.00,"1,952.00"
WEX - 000202,,Geotechnical,Geotechnical - Soil Cuttings,Geotechnical - Soil Cuttings,Geotechnical - Maintenance,Vegetation management to address geotechnical risks - Soil Cuttings,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,21,,9,0,4,4,4,21,Geotechnical,,305.00,,25.00,25.00,25.00,380.00
WEX - 000203,,Geotechnical,Geotechnical - Rock Cuttings,Geotechnical - Rock Cuttings,Geotechnical - Refurbishment,Vegetation management to address geotechnical risks - Rock Cuttings,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,6,,,0,2,2,2,6,Geotechnical,,,,21.00,20.00,20.00,61.00
WEX - 000204,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Maintenance,Earthworks maintenance to address burrowing - Embankments,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,26,,2,0,8,8,8,26,Geotechnical,,389.00,,379.00,372.00,369.00,"1,509.00"
WEX - 000205,,Geotechnical,Geotechnical - Soil Cuttings,Geotechnical - Soil Cuttings,Geotechnical - Maintenance,Earthworks maintenance to address burrowing - Soil Cuttings,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,30,,0,0,10,10,10,30,Geotechnical,,0.00,,27.00,27.00,27.00,81.00
WEX - 000206,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Maintenance,Earthworks maintenance  - Embankments,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,133,,1,0,44,44,44,133,Geotechnical,,211.00,,206.00,202.00,200.00,819.00
WEX - 000207,,Geotechnical,Geotechnical - Soil Cuttings,Geotechnical - Soil Cuttings,Geotechnical - Maintenance,Earthworks maintenance  - Soil Cuttings,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,134,,2,0,44,44,44,134,Geotechnical,,29.00,,126.00,123.00,122.00,400.00
WEX - 000208,,Geotechnical,Geotechnical - Rock Cuttings,Geotechnical - Rock Cuttings,Geotechnical - Maintenance,Earthworks maintenance - Rock Cuttings,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,18,,6,0,4,4,4,18,Geotechnical,,61.00,,18.00,18.00,18.00,115.00
WEX - 000209,,Geotechnical,Geotechnical - Other,Holding Provision Geotechnical,Not Applicable,Earthworks - shallow mining risk,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,0,,0,0,0,0,0,0,Geotechnical,,8.00,,7.00,7.00,7.00,29.00
WEX - 000210,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Maintenance,Earthworks - risk contingency Embankments,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,3,,0,0,1,1,1,3,Geotechnical,,0.00,,132.00,130.00,128.00,390.00
WEX - 000211,,Geotechnical,Geotechnical - Soil Cuttings,Geotechnical - Soil Cuttings,Geotechnical - Maintenance,Earthworks - risk contingency Soil Cuttings,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,6,,0,0,2,2,2,6,Geotechnical,,0.00,,402.00,394.00,391.00,"1,187.00"
WEX - 000212,,Geotechnical,Geotechnical - Rock Cuttings,Geotechnical - Rock Cuttings,Geotechnical - Maintenance,Earthworks - risk contingency Rock Cuttings,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,1,,0,0,0,0,0,1,Geotechnical,,,,20.00,20.00,20.00,60.00
WEX - 000213,,Geotechnical,Geotechnical - Other,Geotechnical - Monitoring/Alarms,Geotechnical - Non-Volume,Earthworks monitoring and alarms - Embankments,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2018/19,1,,1,0,0,0,0,1,Geotechnical,,463.00,,452.00,443.00,439.00,"1,797.00"
WEX - 000214,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Refurbishment,Tunnel drainage works,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,141428,CP5 Drainage Year 1,2018/19,200,,200,0,0,0,0,200,Geotechnical,,120.00,,117.00,115.00,114.00,466.00
WEX - 000215,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Refurbishment,Drainage new build - embankments,Various,N/A,N/A,N/A,,N/A,N/A,,Unremitted,IP Wessex: B&C ,141428,CP5 Drainage Year 1,2018/19,0,,0,0,0,0,0,0,Geotechnical,,0.00,,97.00,96.00,95.00,288.00
WEX - 000216,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,"IB rotational failure and toe bulge present. earthflow present. removed top fault because not observed at that location, possibly repaired Evaluated By Sue Oliver (Exam) Manage through exam regimes [inc. annual exam]",Ashmead Embankment,BML1,43,1320,,43,1431,,Unremitted,IP Wessex: B&C ,,,2017/18,1,,0,0,0,1,0,1,Geotechnical,,,,,159.00,,159.00
WEX - 000217,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,"IB rotational failure and toe bulge present. earthflow present. removed top fault because not observed at that location, possibly repaired Evaluated By Sue Oliver (Exam) Manage through exam regimes [inc. annual exam]",Ashmead Embankment,BML1,43,1320,,43,1431,,Unremitted,IP Wessex: B&C ,,,2017/18,75,,0,0,0,75,0,75,Geotechnical,,,,,23.00,,23.00
WEX - 000218,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,"IB track slacking and slewing not observed, possibly repaired. several different colours of ballast, added 'requires regular maintenance' which moved it to a poor. soil creep and slumping present Evaluated By Sue Oliver Evaluation Comments minor gentle sl",Loddon Embankment,BML1,45,1666,,45,1749,,Unremitted,IP Wessex: B&C ,,,2017/18,1,,0,0,0,1,0,1,Geotechnical,,,,,159.00,,159.00
WEX - 000219,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,"IB track slacking and slewing not observed, possibly repaired. several different colours of ballast, added 'requires regular maintenance' which moved it to a poor. soil creep and slumping present Evaluated By Sue Oliver Evaluation Comments minor gentle sl",Loddon Embankment,BML1,45,1666,,45,1749,,Unremitted,IP Wessex: B&C ,,,2017/18,75,,0,0,0,75,0,75,Geotechnical,,,,,23.00,,23.00
WEX - 000220,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,Wet toe. Potentail translational and rotational failures.,Firwood Embankment,AAV,35,0995,,35,1540,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2014/15,2,,2,0,0,0,0,2,Geotechnical,,228.00,,,,,228.00
WEX - 000221,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,Wet toe. Potentail translational and rotational failures.,Firwood Embankment,AAV,35,0995,,35,1540,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2014/15,375,,375,0,0,0,0,375,Geotechnical,,187.00,,,,,187.00
WEX - 000222,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Refurbishment,CP6. New SSHI score 16. Historic MIs evident. No significant change. Geomesh unwrapping / broken at crest around 54.0360 miles. Ballast on slope. Up-rooted tree near crest by bridge. Mature trees uprooted & fallen at toe (crowns removed).,Ashe Arch Embankment,BAE1,54,0341,,54,0548,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2014/15,2,,2,0,0,0,0,2,Geotechnical,,117.00,,,,,117.00
WEX - 000223,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,0,Crewkerne Embankment,BAE2,131,1432,,131,1649,,Unremitted,IP Wessex: B&C ,,,2016/17,2,,0,0,2,0,0,2,Geotechnical,,,,260.00,,,260.00
WEX - 000224,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,0,Crewkerne Embankment,BAE2,131,1432,,131,1649,,Unremitted,IP Wessex: B&C ,,,2016/17,150,,0,0,150,0,0,150,Geotechnical,,,,36.00,,,36.00
WEX - 000225,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,IB Fresh ballast covering sleeper ends and in 4'. Historic movement evident. No significant change. Leaning trees (downslope) at approx 15.0500.,Wells Road Embankment,BTH3,15,0446,,15,0738,,Unremitted,IP Wessex: B&C ,146604,Wells Road Embankment,2015/16,6,,0,6,0,0,0,6,Geotechnical,,,705.00,,,,705.00
WEX - 000226,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,IB Fresh ballast covering sleeper ends and in 4'. Historic movement evident. No significant change. Leaning trees (downslope) at approx 15.0500.,Wells Road Embankment,BTH3,15,0446,,15,0738,,Unremitted,IP Wessex: B&C ,146604,Wells Road Embankment,2015/16,225,,0,225,0,0,0,225,Geotechnical,,,76.00,,,,76.00
WEX - 000227,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Refurbishment,IB Fresh ballast covering sleeper ends and in 4'. Historic movement evident. No significant change. Leaning trees (downslope) at approx 15.0500.,Wells Road Embankment,BTH3,15,0446,,15,0738,,Unremitted,IP Wessex: B&C ,146604,Wells Road Embankment,2015/16,225,,0,225,0,0,0,225,Geotechnical,,,22.00,,,,22.00
WEX - 000228,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,"The site consists of embankment of approximately 1 mile m length, with a maximum height of 6m, and typical slope angle of between 30? and 35?.The ground model can be broadly described as a steep high plasticity clay embankment subject to deep movement an",Withy Beds ,NGL,20,0008,,20,0755,,Unremitted,IP Wessex: B&C ,146611,Withy Beds Embankment,2016/17,16,,0,8,8,0,0,16,Geotechnical,,,"1,100.00","1,100.00",,,"2,200.00"
WEX - 000229,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,"The site consists of embankment of approximately 1 mile m length, with a maximum height of 6m, and typical slope angle of between 30? and 35?.The ground model can be broadly described as a steep high plasticity clay embankment subject to deep movement an",Withy Beds ,NGL,20,0008,,20,0755,,Unremitted,IP Wessex: B&C ,146611,Withy Beds Embankment,2016/17,675,,0,337,338,0,0,675,Geotechnical,,,164.00,164.00,,,328.00
WEX - 000230,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Refurbishment,"The site consists of embankment of approximately 1 mile m length, with a maximum height of 6m, and typical slope angle of between 30? and 35?.The ground model can be broadly described as a steep high plasticity clay embankment subject to deep movement an",Withy Beds ,NGL,20,0008,,20,0755,,Unremitted,IP Wessex: B&C ,146611,Withy Beds Embankment,2016/17,500,,0,250,250,0,0,500,Geotechnical,,,38.00,38.00,,,76.00
WEX - 000231,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Refurbishment,"IB freq' burrowing turns poor. should be marg'. no sig' feat or changes. poss burrowing increase. Evaluated By Sue Oliver Evaluation Comments changed to occasional burrowing. one poor section of cess walkway, but earthwork in okay condition. ",River Meon Embankment,WPH1,31,0660,,31,0770,,Unremitted,IP Wessex: B&C ,,,2017/18,1,,0,0,0,1,0,1,Geotechnical,,,,,22.00,,22.00
WEX - 000232,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Refurbishment,"IB freq' burrowing turns poor. should be marg'. no sig' feat or changes. poss burrowing increase. Evaluated By Sue Oliver Evaluation Comments changed to occasional burrowing. one poor section of cess walkway, but earthwork in okay condition. ",River Meon Embankment,WPH1,31,0660,,31,0770,,Unremitted,IP Wessex: B&C ,,,2017/18,75,,0,0,0,75,0,75,Geotechnical,,,,,7.00,,7.00
WEX - 000233,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,"IB soil creep and slumping observed. plus hummocky ground and toe bulge caused by burrows. removed top fault because not observed. Evaluated By Evanthia Batzalexi, (Exam) Manage through exam regimes [inc. annual exam]",Winchfield Embankment,BML1,39,0440,,39,0549,,Unremitted,IP Wessex: B&C ,,,2017/18,1,,0,0,0,1,0,1,Geotechnical,,,,,127.00,,127.00
WEX - 000234,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,"IB soil creep and slumping observed. plus hummocky ground and toe bulge caused by burrows. removed top fault because not observed. Evaluated By Evanthia Batzalexi, (Exam) Manage through exam regimes [inc. annual exam]",Winchfield Embankment,BML1,39,0440,,39,0549,,Unremitted,IP Wessex: B&C ,,,2017/18,75,,0,0,0,75,0,75,Geotechnical,,,,,18.00,,18.00
WEX - 000235,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,CP4 Site? Faber Maunsell identified Poor sites (under NR/SP/CIV/065) during the examination seasons of 2007/08 and 08/09 on WPH1 between 41.0330 and 41.0550 on the Up and Down sides. The Poor status of these earthwork sections were confirmed by the Networ,Grayswood Embankment 2,WPH1,41,0881,,41,1210,,Unremitted,IP Wessex: B&C ,109006,Grayswood EB Preventative,2014/15,3,,3,0,0,0,0,3,Geotechnical,,376.00,,,,,376.00
WEX - 000236,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,CP4 Site? Faber Maunsell identified Poor sites (under NR/SP/CIV/065) during the examination seasons of 2007/08 and 08/09 on WPH1 between 41.0330 and 41.0550 on the Up and Down sides. The Poor status of these earthwork sections were confirmed by the Networ,Grayswood Embankment 2,WPH1,41,0881,,41,1210,,Unremitted,IP Wessex: B&C ,109006,Grayswood EB Preventative,2014/15,150,,150,0,0,0,0,150,Geotechnical,,25.00,,,,,25.00
WEX - 000237,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,IB soil creep and slumping observed at repaired previous failure. removed top fault because not observed. and removed terracing in mid slope because not observed. Evaluated By Sue Oliver (Exam) Manage through exam regimes [inc. annual exam],Winchfield Embankment,BML1,39,0551,,39,0659,,Unremitted,IP Wessex: B&C ,,,2017/18,1,,0,0,0,1,0,1,Geotechnical,,,,,159.00,,159.00
WEX - 000238,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,IB soil creep and slumping observed at repaired previous failure. removed top fault because not observed. and removed terracing in mid slope because not observed. Evaluated By Sue Oliver (Exam) Manage through exam regimes [inc. annual exam],Winchfield Embankment,BML1,39,0551,,39,0659,,Unremitted,IP Wessex: B&C ,,,2017/18,75,,0,0,0,75,0,75,Geotechnical,,,,,23.00,,23.00
WEX - 000239,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,Poor condition earthwork. CCQ is Poor. Translational Failure. Toe bulge visible. Likely to be clay embankment.,Swaythling Embankment,BML1,75,0769,,75,1088,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2014/15,1,,1,0,0,0,0,1,Geotechnical,,564.00,,,,,564.00
WEX - 000240,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,Poor condition earthwork. CCQ is Poor. Translational Failure. Toe bulge visible. Likely to be clay embankment.,Swaythling Embankment,BML1,75,0769,,75,1088,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2014/15,75,,75,0,0,0,0,75,Geotechnical,,23.00,,,,,23.00
WEX - 000241,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Refurbishment,Poor condition earthwork. CCQ is Poor. Translational Failure. Toe bulge visible. Likely to be clay embankment.,Swaythling Embankment,BML1,75,0769,,75,1088,,Unremitted,IP Wessex: B&C ,140521,CP5 E/Wks Renewals - Batch 1,2014/15,150,,150,0,0,0,0,150,Geotechnical,,13.00,,,,,13.00
WEX - 000242,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,"Poor condition earthwork. Alluvium and marshy. Rotational failure, sleeper ends exposed. Very poor track geometry. Likely to be clay embankment. ",Leatherhead Embankment,LEJ,18,0778,,18,0990,,Unremitted,IP Wessex: B&C ,,,2017/18,2,,0,0,0,2,0,2,Geotechnical,,,,,255.00,,255.00
WEX - 000243,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Renewal,"Poor condition earthwork. Alluvium and marshy. Rotational failure, sleeper ends exposed. Very poor track geometry. Likely to be clay embankment. ",Leatherhead Embankment,LEJ,18,0778,,18,0990,,Unremitted,IP Wessex: B&C ,,,2017/18,150,,0,0,0,150,0,150,Geotechnical,,,,,36.00,,36.00
WEX - 000244,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Refurbishment,Poor draiange and scour at the toe,Newtown Embankment,BAE2,161,0775,,161,0875,,Unremitted,IP Wessex: B&C ,,,2017/18,1,,0,0,0,1,0,1,Geotechnical,,,,,22.00,,22.00
WEX - 000245,,Geotechnical,Geotechnical - Drainage,Geotechnical - Drainage,Geotechnical - Refurbishment,Poor draiange and scour at the toe,Newtown Embankment,BAE2,161,0775,,161,0875,,Unremitted,IP Wessex: B&C ,,,2017/18,75,,0,0,0,75,0,75,Geotechnical,,,,,7.00,,7.00
WEX - 000246,,Geotechnical,Geotechnical - Embankments,Geotechnical - Embankments,Geotechnical - Renewal,CP4 / 5. Poor condition earthwork. Alluvium and marshy. Movement to trough. Cess widening necessary. Local slumping and earthflow present. Very poor track geometry. ,River Mole 2 Embankment,NGL,19,0452,,19,0832,,Unremitted,IP Wessex: B&C ,146609,River Mole 2 Embankment,2015/16,4,,0,4,0,0,0,4,Geotechnical,,,"1,214.00",,,,"1,214.00"
